E,time_factor,T,obj_val,y_nonzero,time,zeta_nonzero,Method
5,2,48,36160.873275500664,189,23.270287667,12085,0,
5,2,48,36160.873275500635,295,0.912983041,12086,1,
5,2,48,36160.87327852651,5880,0.804452292,28175,2,
5,2,48,-36160.873265173104,5876,160.6823345,19998,6,
5,4,96,32874.31522496506,400,218.427253375,48285,0,
5,4,96,32874.31522496499,788,15.155119541,50411,1,
5,4,96,32874.31522837109,23280,5.96451475,111744,2,
5,4,96,-32874.315225173275,23279,980.347346541,78921,6,
5,6,144,30196.37492512348,629,2205.238947541,104853,0,
5,6,144,30196.374925123328,1126,104.798392667,113998,1,
5,6,144,30196.374925404372,52200,22.470507792,250560,2,
5,6,144,-30196.37492519652,52193,1445.363942541,176800,6,
5,8,192,28359.355287374965,703,10344.686214708,184513,0,
5,8,192,28359.355287374965,1544,280.474686041,201140,1,
5,8,192,28359.355290538926,92640,62.60110625,444672,2,
5,8,192,-28359.355282490877,92635,4923.237202375,313643,6,
5,10,240,27240.8105524598,870,18428.846942541,287447,0,
5,10,240,27240.810552459694,1662,3480.7223565,332307,1,
5,10,240,27240.81055278787,144600,140.469733833,694080,2,
5,10,240,-27240.81055273578,144595,13670.421433666,489484,6,
